transcript_id	position	strand	alignedTo	same_classification?	source	score	z_score	winner	GenomeStart	PredictionStart	GenomeEnd	PredictionEnd
antisense_0	857	-		OTH Found	CNIT	-0.488	-0.021	RNA	0.0	698.0	857.0	796.0
antisense_1	1036	-		OTH Found	CNIT	-0.585	1.004	RNA	857.0	991.0	1036.0	1020.0
antisense_2	2199	-		OTH Found	CNIT	-0.514	0.254	RNA	1311.0	1664.0	2199.0	1699.0
antisense_3	2398	-		OTH Found	CNIT	-0.621	1.387	RNA	2199.0	2271.0	2398.0	2291.0
antisense_4	4463	-	CP053849.1 (4422-3632)	False	QRNA	17.555	0.052	COD	3674.0	3676.0	4461.0	4311.0
antisense_5	11810	-	OU701459.1 (1574227-1573340)	False	QRNA	76.209	2.713	COD	10923.0	10982.0	11810.0	11638.0
antisense_6	12083	-	CP022347.1 (1704204-1703932)	False	QRNA	5.428	-0.499	COD	11811.0	11825.0	12083.0	12040.0
antisense_7	13410	-		OTH Found	CNIT	-0.562	0.759	RNA	12522.0	12589.0	13410.0	12609.0
antisense_8	14046	-		OTH Found	CNIT	-0.6	1.161	RNA	13410.0	13864.0	14046.0	13884.0
antisense_9	14205	-		OTH Found	CNIT	-0.612	1.289	RNA	14046.0	14172.0	14205.0	14198.0
antisense_10	15890	+		OTH Found	CNIT	-0.403	-0.912	RNA	15890.0	16288.0	16550.0	16350.0
antisense_11	16550	+	CP059682.1 (851113-850969)	False	QRNA	9.178	-0.329	COD	16550.0	16550.0	16695.0	16624.0
antisense_12	16714	+		OTH Found	CNIT	-0.43	-0.631	RNA	16714.0	16771.0	17112.0	16806.0
antisense_13	17112	+		OTH Found	CNIT	-0.487	-0.036	RNA	17112.0	17161.0	17546.0	17328.0
antisense_14	18467	-		OTH Found	CNIT	-0.349	-1.485	RNA	17579.0	18090.0	18467.0	18245.0
antisense_15	20156	+	CP043427.1 (7450-6780)	True	QRNA	8.057	-0.316	RNA	20158.0	20158.0	20828.0	20552.0
antisense_16	24677	+	CP059597.1 (23475-24371)	True	QRNA	11.476	0.066	RNA	24677.0	24677.0	25564.0	25564.0
antisense_17	26083	+	AP026014.1 (26317-27198)	True	QRNA	10.346	-0.06	RNA	26083.0	26083.0	26970.0	26970.0
antisense_18	27109	+	CP027634.1 (24609-25495)	True	QRNA	24.048	1.47	RNA	27109.0	27109.0	27992.0	27992.0
antisense_19	36099	-		OTH Found	CNIT	-0.432	-0.608	RNA	35211.0	35759.0	36099.0	35800.0
antisense_20	37461	-		OTH Found	CNIT	-0.531	0.433	RNA	36573.0	37006.0	37461.0	37035.0
orphan_0	38782	+	CP025281.1 (647527-647918)	True	QRNA	15.42	0.506	RNA	38782.0	38782.0	39154.0	39154.0
antisense_21	40236	-		OTH Found	CNIT	-0.324	-1.754	RNA	39348.0	39625.0	40236.0	39894.0
orphan_2	41103	+	CP076657.1 (1457330-1456919)	True	QRNA	11.144	0.029	RNA	41110.0	41110.0	41512.0	41512.0
orphan_3	41335	-	AB644401.1 (649-1)	True	QRNA	15.994	0.57	RNA	40632.0	40632.0	41335.0	41335.0
antisense_23	49707	-	CP076657.1 (500863-501744)	True	QRNA	11.499	0.068	RNA	48820.0	48820.0	49707.0	49707.0
antisense_24	50488	-	CP020478.1 (1333933-1333157)	True	QRNA	20.098	1.029	RNA	49709.0	49709.0	50488.0	50488.0
antisense_25	60022	-	CP092017.1 (52018-51135)	True	QRNA	29.147	2.04	RNA	59135.0	59135.0	60022.0	60022.0
antisense_26	61283	-	CP022440.1 (61286-60399)	True	QRNA	22.215	1.265	RNA	60396.0	60396.0	61283.0	61283.0
antisense_27	62366	-	CP007769.1 (1424377-1425258)	True	QRNA	17.414	0.729	RNA	61479.0	61479.0	62366.0	62366.0
antisense_28	62571	-		OTH Found	CNIT	-0.613	1.303	RNA	62366.0	62414.0	62571.0	62431.0
antisense_29	62832	+		OTH Found	CNIT	0.592	-0.405	COD	62832.0	63017.0	63720.0	63202.0
antisense_30	66266	+	CP063089.1 (1564571-1565241)	False	QRNA	17.591	0.053	COD	66267.0	66375.0	66937.0	66929.0
antisense_31	67632	+	CP037747.1 (1388694-1387824)	False	QRNA	11.581	-0.22	COD	67641.0	67653.0	68517.0	68515.0
antisense_32	71243	-		OTH Found	CNIT	-0.495	0.051	RNA	70355.0	70815.0	71243.0	70835.0
antisense_33	72468	-		OTH Found	CNIT	-0.34	-1.576	RNA	71580.0	72001.0	72468.0	72138.0
antisense_34	73018	-		OTH Found	CNIT	-0.335	-1.629	RNA	72468.0	72757.0	73018.0	72900.0
antisense_35	74603	+		OTH Found	CNIT	-0.559	0.731	RNA	74603.0	74839.0	75130.0	74853.0
antisense_36	75130	+		OTH Found	CNIT	-0.772	2.972	RNA	75130.0	75132.0	75246.0	75149.0
antisense_37	75246	+	CP059597.1 (1300557-1299726)	True	QRNA	20.954	1.124	RNA	75246.0	75246.0	76080.0	76080.0
antisense_38	76200	+	CP059373.1 (1450389-1450870)	True	QRNA	37.743	3.0	RNA	76207.0	76207.0	76699.0	76699.0
antisense_39	76700	+		OTH Found	CNIT	-0.623	1.402	RNA	76700.0	76820.0	77101.0	76840.0
antisense_40	77863	-	CP014744.1 (70151-69430)	True	QRNA	20.217	1.042	RNA	77143.0	77143.0	77863.0	77863.0
antisense_41	78029	-	OU701459.1 (601611-601454)	False	QRNA	9.034	-0.335	COD	77864.0	77894.0	78021.0	78021.0
antisense_42	79023	-	CP053849.1 (622078-621198)	False	QRNA	10.157	-0.284	COD	78136.0	78136.0	79023.0	78943.0
antisense_43	80234	+	CP041617.1 (1037111-1036513)	True	QRNA	9.793	-0.122	RNA	80241.0	80241.0	80842.0	80842.0
antisense_44	81682	+		OTH Found	CNIT	-0.476	-0.15	RNA	81682.0	82223.0	82570.0	82333.0
antisense_45	84627	+	CP022347.1 (233861-234757)	False	QRNA	7.649	-0.398	COD	84627.0	84647.0	85514.0	85470.0
antisense_46	88905	+		OTH Found	CNIT	-0.473	-0.177	RNA	88905.0	89160.0	89335.0	89198.0
antisense_47	89335	+	CP010487.1 (675746-675788)	False	QRNA	1.394	-0.682	COD	89335.0	89338.0	89377.0	89376.0
