transcript_id	position	strand	alignedTo	same_classification?	source	score	z_score	winner	GenomeStart	PredictionStart	GenomeEnd	PredictionEnd
antisense_0	981	-		OTH Found	CNIT	-0.415	-0.118	RNA	493	644	981	754
orphan_2	2720	-	CP081915.1 (4619-5343)	True	QRNA	9.932	1.466	RNA	1996	1996	2720	2720
orphan_4	4242	-		OTH Found	CNIT	-0.594	1.342	RNA	3787	4033	4242	4062
orphan_5	4252	+		OTH Found	CNIT	-0.368	-0.507	RNA	4252	4306	4536	4383
antisense_1	11991	-		OTH Found	CNIT	-0.307	-1.001	RNA	11266	11280	11991	11660
antisense_2	12120	-		OTH Found	CNIT	-0.511	0.668	RNA	11991	12080	12120	12115
antisense_3	16854	-		OTH Found	CNIT	-0.294	-1.108	RNA	16129	16136	16854	16591
antisense_4	20011	+		OTH Found	CNIT	-0.417	-0.1	RNA	20011	20316	20736	20420
orphan_8	21681	+	KJ830769.1 (3750-3796)	False	QRNA	-0.212	-0.368	COD	21681	21706	21727	21723
orphan_9	21734	+		OTH Found	CNIT	-0.482	0.428	RNA	21734	21740	21919	21775
antisense_5	25303	-		OTH Found	CNIT	-0.365	-0.534	RNA	24578	24646	25303	24777
antisense_6	30894	-	CP103167.1 (11079-10612)	False	QRNA	1.558	0.707	COD	30427	30445	30894	30654
antisense_7	32225	-		OTH Found	CNIT	-0.391	-0.318	RNA	31500	32026	32225	32166
