gi|385671628|ref|NC_008787.1|orphan_0|Start:38782|Strand:+	373
gi|385671628|ref|NC_008787.1|orphan_2|Start:41103|Strand:+	410
gi|385671628|ref|NC_008787.1|orphan_4|Start:273206|Strand:+	802
gi|385671628|ref|NC_008787.1|orphan_5|Start:395392|Strand:+	373
gi|385671628|ref|NC_008787.1|orphan_7|Start:397711|Strand:+	410
gi|385671628|ref|NC_008787.1|orphan_9|Start:692545|Strand:+	368
gi|385671628|ref|NC_008787.1|orphan_10|Start:694861|Strand:+	410
gi|385671628|ref|NC_008787.1|orphan_12|Start:875231|Strand:+	888
gi|385671628|ref|NC_008787.1|orphan_16|Start:1141674|Strand:+	888
gi|385671628|ref|NC_008787.1|orphan_19|Start:1531082|Strand:+	172
gi|385671628|ref|NC_008787.1|orphan_3|Start:41335|Strand:-	888
gi|385671628|ref|NC_008787.1|orphan_8|Start:397943|Strand:-	888
gi|385671628|ref|NC_008787.1|orphan_11|Start:695093|Strand:-	888
gi|385671628|ref|NC_008787.1|orphan_13|Start:1073590|Strand:-	696
gi|385671628|ref|NC_008787.1|orphan_15|Start:1141664|Strand:-	888
gi|385671628|ref|NC_008787.1|orphan_17|Start:1433397|Strand:-	888
gi|385671628|ref|NC_008787.1|orphan_18|Start:1436138|Strand:-	348
gi|385671628|ref|NC_008787.1|orphan_20|Start:1601440|Strand:-	466
gi|385671628|ref|NC_008787.1|antisense_10|Start:15890|Strand:+	660
gi|385671628|ref|NC_008787.1|antisense_11|Start:16550|Strand:+	164
gi|385671628|ref|NC_008787.1|antisense_12|Start:16714|Strand:+	398
gi|385671628|ref|NC_008787.1|antisense_13|Start:17112|Strand:+	434
gi|385671628|ref|NC_008787.1|antisense_15|Start:20156|Strand:+	674
gi|385671628|ref|NC_008787.1|antisense_16|Start:24677|Strand:+	888
gi|385671628|ref|NC_008787.1|antisense_17|Start:26083|Strand:+	888
gi|385671628|ref|NC_008787.1|antisense_18|Start:27109|Strand:+	888
gi|385671628|ref|NC_008787.1|antisense_29|Start:62832|Strand:+	888
gi|385671628|ref|NC_008787.1|antisense_30|Start:66266|Strand:+	888
gi|385671628|ref|NC_008787.1|antisense_31|Start:67632|Strand:+	888
gi|385671628|ref|NC_008787.1|antisense_35|Start:74603|Strand:+	527
gi|385671628|ref|NC_008787.1|antisense_36|Start:75130|Strand:+	116
gi|385671628|ref|NC_008787.1|antisense_37|Start:75246|Strand:+	888
gi|385671628|ref|NC_008787.1|antisense_38|Start:76200|Strand:+	500
gi|385671628|ref|NC_008787.1|antisense_39|Start:76700|Strand:+	401
gi|385671628|ref|NC_008787.1|antisense_43|Start:80234|Strand:+	888
