transcript_id	strand	type	start	end	feature	term_id	score_term	term_start	term_end	rank_term_score	additional_term	start_with_terminator	end_with_terminator
antisense_0	-	RNA	246	857								246.0	857.0
antisense_1	-	RNA	925	1034								925.0	1034.0
antisense_2	-	RNA	1058	1896	RhoDep	T1385	0.466	1122.0	1200.0	1.0		972.0	1896.0
antisense_3	-	RNA	1934	2199								1934.0	2199.0
antisense_4	-	RNA	2381	2398								2381.0	2398.0
antisense_5	-	RNA	2480	2522								2480.0	2522.0
antisense_6	-	RNA	3840	4463								3840.0	4463.0
antisense_7	-	RNA	4620	4842	RhoDep	T1388	0.623	4575.0	4653.0	1.0		4425.0	4842.0
antisense_8	-	COD	10970	11810	RhoDep	T1397	0.616	11148.0	11226.0	1.0		10998.0	11810.0
antisense_9	-	COD	11825	12083								11825.0	12083.0
antisense_10	+	COD	14812	14934								14812.0	14934.0
antisense_11	+	RNA	14976	15068	RhoDep	T9	0.577	15372.0	15450.0	1.0		14976.0	15600.0
antisense_12	+	RNA	15374	15545								15374.0	15545.0
antisense_13	-	COD	15987	16729	RhoDep	T1405	0.756	15978.0	16056.0	1.0		15828.0	16729.0
antisense_14	+	RNA	17738	18644	RhoDep	T12	0.646	18186.0	18264.0	1.0		17738.0	18414.0
antisense_15	+	RNA	24473	25381								24473.0	25381.0
antisense_16	+	RNA	25519	26427								25519.0	26427.0
antisense_17	-	RNA	34168	34508	RhoDep	T1423	0.709	33869.0	33947.0	1.0		33719.0	34508.0
antisense_18	-	RNA	35415	35682	RhoDep	T1425	0.72	35123.0	35201.0	1.0		34973.0	35682.0
antisense_19	-	RNA	35741	35870								35741.0	35870.0
orphan_0	+	RNA	37191	37564								37191.0	37564.0
antisense_20	-	RNA	38035	38646	RhoDep	T1430	0.674	37899.0	37977.0	1.0		37749.0	38646.0
antisense_21	-	RNA	39131	39808								39131.0	39808.0
antisense_23	-	RNA	47175	48083								47175.0	48083.0
antisense_24	-	RNA	48085	48864	RhoDep	T1453	0.307	48620.0	48698.0	1.0		48470.0	48864.0
antisense_25	+	RNA	51648	52387	RhoDep	T30	0.838	52345.0	52423.0	1.0		51648.0	52573.0
antisense_26	-	RNA	57325	57965								57325.0	57965.0
antisense_27	-	RNA	57994	58122								57994.0	58122.0
antisense_28	-	RNA	58202	58464	Intrinsic	TERM827	0.613	58210.0	58224.0	1.0		58210.0	58464.0
antisense_29	-	RNA	58504	58572								58504.0	58572.0
antisense_30	-	RNA	58661	59569								58661.0	59569.0
antisense_31	+	COD	64856	65519	RhoDep	T34	0.77	65475.0	65553.0	1.0		64856.0	65703.0
antisense_32	-	RNA	70580	71047	RhoDep	T1467	0.537	70619.0	70697.0	1.0		70469.0	71047.0
antisense_33	-	RNA	71336	71597	RhoDep	T1468	0.643	71360.0	71438.0	1.0		71210.0	71597.0
antisense_34	+	RNA	73182	73279								73182.0	73279.0
antisense_35	+	RNA	73825	74716								73825.0	74716.0
antisense_36	+	RNA	75282	75316								75282.0	75316.0
antisense_37	+	RNA	75317	75423								75317.0	75423.0
antisense_38	-	RNA	75723	76450	RhoDep	T1473	0.514	75915.0	75993.0	1.0		75765.0	76450.0
antisense_39	-	COD	76481	76616								76481.0	76616.0
