transcript_id	strand	type	start	end	feature	term_id	score_term	term_start	term_end	rank_term_score	additional_term	start_with_terminator	end_with_terminator
antisense_0	-	RNA	698	1036								698.0	1036.0
antisense_1	-	RNA	1664	2199								1664.0	2199.0
antisense_2	-	RNA	2228	2398								2228.0	2398.0
antisense_3	-	RNA	2480	2522								2480.0	2522.0
antisense_4	-	COD	3676	4463	RhoDep	T1468	0.707	3729.0	3807.0	1.0		3579.0	4463.0
antisense_5	-	COD	10982	11810	RhoDep	T1479	0.538	11148.0	11226.0	1.0		10998.0	11810.0
antisense_6	-	COD	11825	12083								11825.0	12083.0
antisense_7	+	COD	14811	14933								14811.0	14933.0
antisense_8	+	RNA	14975	15067								14975.0	15067.0
antisense_9	+	RNA	15373	15589								15373.0	15589.0
antisense_10	+	RNA	18417	18608	Intrinsic	TERM250	0.778	19217.0	19239.0	1.0		18417.0	19239.0
antisense_11	+	RNA	22939	23567	RhoDep	T15	0.849	23566.0	23644.0	1.0		22939.0	23794.0
antisense_12	+	RNA	24348	24435								24348.0	24435.0
antisense_13	+	RNA	24535	25371								24535.0	25371.0
antisense_14	+	RNA	25374	25995								25374.0	25995.0
antisense_15	+	RNA	25996	26093								25996.0	26093.0
antisense_16	-	COD	33760	34551	RhoDep	T1509	0.673	33726.0	33804.0	1.0		33576.0	34551.0
orphan_0	+	RNA	37025	37395								37025.0	37395.0
antisense_17	-	RNA	37866	38477	RhoDep	T1515	0.672	37730.0	37808.0	1.0		37580.0	38477.0
orphan_2	+	RNA	39346	39706								39346.0	39706.0
antisense_18	-	RNA	38962	39636	Intrinsic	TERM515	0.652	39088.0	39110.0	1.0		39088.0	39636.0
antisense_19	-	RNA	44113	44253	RhoDep	T1529	0.611	43767.0	43845.0	1.0		43617.0	44253.0
antisense_20	-	RNA	44850	45065	RhoDep	T1530	0.625	44329.0	44407.0	1.0		44179.0	45065.0
antisense_21	-	RNA	49105	49964	Intrinsic	TERM665	0.847	49348.0	49368.0	1.0		49348.0	49964.0
antisense_22	-	RNA	50004	50072								50004.0	50072.0
antisense_23	-	RNA	50089	50942								50089.0	50942.0
antisense_24	+	COD	54637	55300	RhoDep	T29	0.769	55256.0	55334.0	1.0		54637.0	55484.0
antisense_25	+	COD	56003	56859	RhoDep	T32	0.651	56521.0	56599.0	1.0		56003.0	56749.0
antisense_26	-	RNA	60331	60798	RhoDep	T1540	0.532	60370.0	60448.0	1.0		60220.0	60798.0
antisense_27	-	RNA	61087	61348	RhoDep	T1541	0.643	61111.0	61189.0	1.0		60961.0	61348.0
antisense_28	+	RNA	62933	63568								62933.0	63568.0
antisense_29	+	RNA	63576	64425								63576.0	64425.0
antisense_30	+	RNA	65034	65068								65034.0	65068.0
antisense_31	+	RNA	65069	65205								65069.0	65205.0
antisense_32	-	RNA	65475	66207	Intrinsic	TERM922	0.666	65933.0	65965.0	1.0		65933.0	66207.0
antisense_33	-	COD	66238	66373								66238.0	66373.0
antisense_34	+	RNA	68462	68712								68462.0	68712.0
antisense_35	+	RNA	69694	70362	RhoDep	T42	0.633	70110.0	70188.0	1.0		69694.0	70338.0
antisense_36	-	RNA	71058	71919	Intrinsic	TERM1002	0.374	71344.0	71362.0	1.0		71344.0	71919.0
antisense_37	+	COD	72988	73831	RhoDep	T47	0.509	73677.0	73755.0	1.0		72988.0	73905.0
antisense_38	+	RNA	77266	77559								77266.0	77559.0
antisense_39	+	RNA	77696	77716								77696.0	77716.0
antisense_40	+	RNA	77739	78600	RhoDep	T54	0.325	77782.0	77860.0	1.0		77739.0	78010.0
antisense_41	-	RNA	80223	81082								80223.0	81082.0
antisense_42	+	RNA	82774	83635								82774.0	83635.0
antisense_43	+	RNA	87858	88395	RhoDep	T63	0.735	88325.0	88403.0	1.0		87858.0	88553.0
antisense_44	+	RNA	88396	88432								88396.0	88432.0
antisense_45	+	COD	88553	89207								88553.0	89207.0
antisense_46	-	RNA	90443	90720								90443.0	90720.0
antisense_48	-	COD	90732	91475	RhoDep	T1570	0.521	91037.0	91115.0	1.0		90887.0	91475.0
antisense_49	-	RNA	91717	92296								91717.0	92296.0
antisense_50	+	RNA	94350	94857								94350.0	94857.0
antisense_51	-	RNA	102962	103090								102962.0	103090.0
antisense_52	-	RNA	103830	103946	RhoDep	T1586	0.652	103262.0	103340.0	1.0		103112.0	103946.0
antisense_53	-	COD	107329	108099	RhoDepWithHP	T1589	0.637	107271.0	107428.0	1.0	TERM1584	107271.0	108099.0
antisense_54	-	RNA	108235	108283	RhoDep	T1590	0.739	108112.0	108190.0	1.0		107962.0	108283.0
antisense_55	-	RNA	108289	108318								108289.0	108318.0
antisense_56	-	COD	110190	111034	RhoDep	T1593	0.504	110598.0	110676.0	1.0		110448.0	111034.0
antisense_58	-	RNA	116243	117040	RhoDep	T1601	0.681	116101.0	116179.0	1.0		115951.0	117040.0
antisense_59	+	RNA	125435	125497								125435.0	125497.0
antisense_60	+	RNA	125587	125738								125587.0	125738.0
antisense_61	+	RNA	125919	126771								125919.0	126771.0
antisense_62	+	RNA	127495	128129	RhoDep	T82	0.562	127928.0	128006.0	1.0		127495.0	128156.0
antisense_63	+	RNA	129488	129789	Intrinsic	TERM1916	0.605	129896.0	129915.0	1.0		129488.0	129915.0
antisense_64	-	RNA	131341	131354								131341.0	131354.0
antisense_65	-	RNA	131440	131946								131440.0	131946.0
antisense_66	-	RNA	132106	132264								132106.0	132264.0
antisense_67	-	RNA	140667	141505								140667.0	141505.0
antisense_68	+	RNA	142838	143427								142838.0	143427.0
antisense_69	-	RNA	145586	146445	RhoDep	T1640	0.648	145770.0	145848.0	1.0		145620.0	146445.0
antisense_70	-	RNA	147106	147898								147106.0	147898.0
antisense_71	+	RNA	157219	158080	RhoDep	T100	0.673	157864.0	157942.0	1.0		157219.0	158092.0
antisense_72	+	RNA	159680	160214								159680.0	160214.0
antisense_73	+	RNA	164619	164654								164619.0	164654.0
antisense_74	+	RNA	164655	165117	Intrinsic	TERM2388	0.309	164940.0	164966.0	1.0		164655.0	164966.0
antisense_75	+	COD	166364	167000	RhoDep	T110	0.429	166603.0	166681.0	1.0		166364.0	166831.0
antisense_76	+	RNA	167350	168209	RhoDepWithHP	T112	0.567	167811.0	167953.0	1.0	TERM2436	167350.0	167953.0
antisense_77	+	RNA	168613	169023	RhoDep	T114	0.663	169295.0	169373.0	1.0		168613.0	169523.0
antisense_78	+	RNA	169489	169624	RhoDep	T115	0.767	169618.0	169696.0	1.0		169489.0	169846.0
antisense_79	+	RNA	169657	169994	RhoDep	T116	0.682	170004.0	170082.0	1.0		169657.0	170232.0
antisense_80	+	RNA	170105	170944								170105.0	170944.0
antisense_81	-	RNA	173159	173393	RhoDep	T1653	0.698	173076.0	173154.0	1.0		172926.0	173393.0
antisense_82	-	RNA	173395	173837	RhoDep	T1654	0.581	173511.0	173589.0	1.0		173361.0	173837.0
antisense_83	-	COD	174493	174806	RhoDep	T1656	0.695	174400.0	174478.0	1.0		174250.0	174806.0
antisense_84	+	RNA	180645	180900	RhoDep	T123	0.638	180996.0	181074.0	1.0		180645.0	181224.0
antisense_85	+	RNA	181010	181634								181010.0	181634.0
antisense_86	+	RNA	184608	184975	RhoDep	T127	0.581	185299.0	185377.0	1.0		184608.0	185527.0
antisense_87	+	RNA	185701	185879	RhoDep	T129	0.64	185814.0	185892.0	1.0		185701.0	186042.0
antisense_88	+	RNA	186028	186353	Intrinsic	TERM2734	0.77	186328.0	186345.0	1.0		186028.0	186345.0
