transcript_id	position	strand	transcript_length	winner	feature	term_start	term_end	mfe	summary	GeneStart	GeneEnd	GeneLength	GeneLengthWithUTR	url_for_image
orphan_0	38782	+	373	RNA	NA	NA	NA	-64.0	[['motif_4', 23, 1.34e-09]]	38782.0	39154.0	373.0	373.0	orphan_0_ss.jpg
orphan_2	41103	+	410	RNA	Intrinsic	41120.0	41140.0	-5.1	NA	41110.0	41140.0	31.0	38.0	orphan_2_ss.jpg
orphan_4	273206	+	802	RNA	RhoDep	274005.0	274083.0	-181.5	NA	273791.0	274233.0	443.0	1028.0	orphan_4_ss.jpg
orphan_5	395392	+	373	RNA	NA	NA	NA	-64.0	[['motif_4', 23, 1.34e-09]]	395392.0	395764.0	373.0	373.0	orphan_5_ss.jpg
orphan_7	397711	+	410	RNA	Intrinsic	397728.0	397748.0	-5.1	NA	397718.0	397748.0	31.0	38.0	orphan_7_ss.jpg
orphan_9	692545	+	368	RNA	NA	NA	NA	-62.5	[['motif_0', 29, 0.0014]]	692545.0	692912.0	368.0	368.0	orphan_9_ss.jpg
orphan_10	694861	+	410	RNA	Intrinsic	694878.0	694898.0	-5.1	NA	694868.0	694898.0	31.0	38.0	orphan_10_ss.jpg
orphan_12	875231	+	888	RNA	Intrinsic	875582.0	875603.0	-63.5	[['motif_0', 29, 7.07e-05]]	875231.0	875603.0	373.0	373.0	orphan_12_ss.jpg
orphan_16	1141674	+	888	COD	NA	NA	NA	NA	NA	1141680.0	1142345.0	666.0	672.0	
orphan_19	1531082	+	172	RNA	Intrinsic	1531122.0	1531143.0	-10.0	NA	1531116.0	1531143.0	28.0	62.0	orphan_19_ss.jpg
orphan_3	41335	-	888	RNA	NA	NA	NA	-160.7	[['motif_0', 29, 0.00195], ['motif_2', 9, 1.36e-11]]	40632.0	41335.0	704.0	704.0	orphan_3_ss.jpg
orphan_8	397943	-	888	RNA	NA	NA	NA	-160.7	[['motif_0', 29, 0.00195], ['motif_2', 9, 1.36e-11]]	397240.0	397943.0	704.0	704.0	orphan_8_ss.jpg
orphan_11	695093	-	888	RNA	NA	NA	NA	-160.7	[['motif_0', 29, 0.00195], ['motif_2', 9, 1.36e-11]]	694390.0	695093.0	704.0	704.0	orphan_11_ss.jpg
