transcript_id	position	strand	transcript_length	winner	feature	term_start	term_end	mfe	summary	GeneStart	GeneEnd	GeneLength	GeneLengthWithUTR	url_for_image
orphan_0	37191	+	374	RNA	NA	NA	NA	-61.9	NA	37191.0	37564.0	374.0	374.0	orphan_0_ss.jpg
orphan_2	403063	+	374	RNA	NA	NA	NA	-61.9	NA	403063.0	403436.0	374.0	374.0	orphan_2_ss.jpg
orphan_4	465323	+	393	RNA	NA	NA	NA	-33.6	NA	465462.0	465572.0	111.0	250.0	orphan_4_ss.jpg
orphan_8	650864	+	397	RNA	NA	NA	NA	-70.5	NA	650877.0	651258.0	382.0	395.0	orphan_8_ss.jpg
orphan_9	706241	+	374	RNA	NA	NA	NA	-61.9	NA	706241.0	706614.0	374.0	374.0	orphan_9_ss.jpg
orphan_11	879931	+	303	RNA	NA	NA	NA	-26.9	[['motif_3', 46, 0.000684]]	880020.0	880052.0	33.0	122.0	orphan_11_ss.jpg
orphan_14	880234	+	597	RNA	RhoDep	880440.0	880518.0	-82.4	[['motif_0', 29, 2.18e-05], ['motif_3', 19, 0.000684]]	880234.0	880668.0	435.0	435.0	orphan_14_ss.jpg
orphan_17	884817	+	31	RNA	NA	NA	NA	-3.8	[['motif_0', 30, 0.000176]]	884831.0	884848.0	18.0	32.0	orphan_17_ss.jpg
orphan_18	917052	+	408	RNA	NA	NA	NA	-32.6	NA	917206.0	917316.0	111.0	265.0	orphan_18_ss.jpg
orphan_20	1542619	+	171	RNA	NA	NA	NA	-7.0	NA	1542653.0	1542676.0	24.0	58.0	orphan_20_ss.jpg
orphan_21	1568600	+	271	RNA	NA	NA	NA	-8.42	[['motif_0', 28, 0.000202]]	1568693.0	1568725.0	33.0	126.0	orphan_21_ss.jpg
orphan_5	465614	-	909	RNA	NA	NA	NA	-151.4	NA	464706.0	465614.0	909.0	909.0	orphan_5_ss.jpg
orphan_7	648107	-	385	RNA	NA	NA	NA	-7.4	[['motif_0', 32, 0.00157]]	648056.0	648103.0	48.0	52.0	orphan_7_ss.jpg
orphan_12	880052	-	854	COD	Intrinsic	879218.0	879228.0	NA	[['motif_0', 29, 0.0005]]	879218.0	879336.0	119.0	835.0	
orphan_13	880088	-	36	RNA	NA	NA	NA	-3.2	[['motif_3', 5, 0.000684]]	880056.0	880073.0	18.0	33.0	orphan_13_ss.jpg
orphan_15	880310	-	222	RNA	NA	NA	NA	-26.4	[['motif_0', 31, 0.000114]]	880231.0	880281.0	51.0	80.0	orphan_15_ss.jpg
orphan_16	880586	-	276	RNA	NA	NA	NA	-23.8	[['motif_0', 28, 0.00288]]	880449.0	880499.0	51.0	138.0	orphan_16_ss.jpg
orphan_19	917357	-	416	RNA	NA	NA	NA	-62.1	NA	916999.0	917357.0	359.0	359.0	orphan_19_ss.jpg
orphan_22	1616125	-	468	RNA	NA	NA	NA	-60.2	NA	1615730.0	1616125.0	396.0	396.0	orphan_22_ss.jpg
orphan_24	1616338	-	213	RNA	NA	NA	NA	-5.7	[['motif_0', 27, 0.000343], ['motif_3', 5, 0.000684]]	1616237.0	1616263.0	27.0	102.0	orphan_24_ss.jpg
antisense_10	14812	+	164	COD	NA	NA	NA	NA	[['motif_0', 8, 0.00157]]	14827.0	14934.0	108.0	123.0	
antisense_11	14976	+	398	RNA	RhoDep	15372.0	15450.0	-104.5	NA	15033.0	15600.0	568.0	625.0	antisense_11_ss.jpg
antisense_12	15374	+	434	RNA	NA	NA	NA	-32.4	NA	15402.0	15545.0	144.0	172.0	antisense_12_ss.jpg
antisense_14	17738	+	909	RNA	RhoDep	18186.0	18264.0	-98.2	[['motif_0', 29, 0.000202]]	17747.0	18414.0	668.0	677.0	antisense_14_ss.jpg
antisense_15	24473	+	909	RNA	NA	NA	NA	-203.1	[['motif_0', 27, 9.85e-05]]	24473.0	25381.0	909.0	909.0	antisense_15_ss.jpg
antisense_16	25519	+	909	RNA	NA	NA	NA	-181.3	NA	25519.0	26427.0	909.0	909.0	antisense_16_ss.jpg
antisense_25	51648	+	909	RNA	RhoDep	52345.0	52423.0	-204.8	NA	52337.0	52573.0	237.0	926.0	antisense_25_ss.jpg
antisense_31	64856	+	909	COD	RhoDep	65475.0	65553.0	NA	[['motif_0', 19, 0.000905]]	64965.0	65703.0	739.0	848.0	
antisense_34	73182	+	643	RNA	NA	NA	NA	-10.1	[['motif_0', 28, 0.000132]]	73265.0	73279.0	15.0	98.0	antisense_34_ss.jpg
