transcript_id	position	strand	alignedTo	same_classification?	source	score	z_score	winner	GenomeStart	PredictionStart	GenomeEnd	PredictionEnd
antisense_0	1036	-		OTH Found	CNIT	-0.488	-0.072	RNA	174.0	698.0	1036.0	796.0
antisense_1	2199	-		OTH Found	CNIT	-0.508	0.123	RNA	1337.0	1664.0	2199.0	1699.0
antisense_2	2398	-		OTH Found	CNIT	-0.611	1.154	RNA	2199.0	2228.0	2398.0	2254.0
antisense_3	2522	-		OTH Found	CNIT	-0.53	0.347	RNA	2398.0	2480.0	2522.0	2521.0
antisense_4	4463	-	CP053849.1 (4422-3632)	False	QRNA	12.055	-0.258	COD	3674.0	3676.0	4461.0	4311.0
antisense_5	11810	-	OU701459.1 (1574227-1573366)	False	QRNA	73.504	3.872	COD	10949.0	10982.0	11810.0	11638.0
antisense_6	12083	-	CP022347.1 (1704204-1703932)	False	QRNA	8.725	-0.481	COD	11811.0	11825.0	12083.0	12040.0
antisense_7	14811	+	CP037747.1 (48237-48099)	False	QRNA	0.743	-1.018	COD	14811.0	14826.0	14950.0	14933.0
antisense_8	14975	+		OTH Found	CNIT	-0.43	-0.645	RNA	14975.0	15032.0	15373.0	15067.0
antisense_9	15373	+		OTH Found	CNIT	-0.438	-0.571	RNA	15373.0	15401.0	15807.0	15589.0
antisense_10	18417	+		OTH Found	CNIT	-0.496	0.008	RNA	18417.0	18576.0	19263.0	18608.0
antisense_11	22939	+	CP059597.1 (23475-24341)	True	QRNA	10.27	-0.055	RNA	22939.0	22939.0	23799.0	23567.0
antisense_12	24348	+		OTH Found	CNIT	-0.522	0.267	RNA	24348.0	24391.0	24535.0	24435.0
antisense_13	24535	+	CP020867.1 (575926-576748)	True	QRNA	7.834	-0.344	RNA	24553.0	24951.0	25371.0	25371.0
antisense_14	25374	+	CP066487.1 (24595-25217)	True	QRNA	19.567	1.05	RNA	25374.0	25374.0	25995.0	25995.0
antisense_15	25996	+		OTH Found	CNIT	-0.608	1.124	RNA	25996.0	26076.0	26473.0	26093.0
antisense_16	34551	-	CP063091.1 (556874-557734)	False	QRNA	21.467	0.375	COD	33690.0	33760.0	34550.0	34537.0
orphan_0	37025	+	CP058336.1 (36715-37107)	True	QRNA	13.729	0.356	RNA	37025.0	37025.0	37395.0	37395.0
antisense_17	38477	-		OTH Found	CNIT	-0.33	-1.637	RNA	37615.0	37866.0	38477.0	38135.0
orphan_2	39346	+	CP059597.1 (206825-207225)	True	QRNA	20.386	1.148	RNA	39353.0	39353.0	39706.0	39706.0
antisense_18	39636	-	AF074836.1 (703-1)	True	QRNA	28.13	2.068	RNA	38962.0	38962.0	39636.0	39636.0
antisense_19	44253	-		OTH Found	CNIT	-0.532	0.366	RNA	43391.0	44113.0	44253.0	44145.0
antisense_20	45065	-		OTH Found	CNIT	-0.566	0.701	RNA	44253.0	44850.0	45065.0	44885.0
antisense_21	49964	-	LR134499.1 (58492-57579)	True	QRNA	28.236	2.081	RNA	49105.0	49105.0	49964.0	49964.0
antisense_22	50072	-		OTH Found	CNIT	-0.791	2.935	RNA	49964.0	50004.0	50072.0	50012.0
antisense_23	50942	-	CP007771.1 (1358597-1359449)	True	QRNA	38.617	3.315	RNA	50089.0	50089.0	50941.0	50941.0
antisense_24	54637	+	CP063089.1 (1564571-1565241)	False	QRNA	18.474	0.174	COD	54638.0	54746.0	55308.0	55300.0
antisense_25	56003	+	CP037747.1 (1388694-1387848)	False	QRNA	7.594	-0.557	COD	56012.0	56021.0	56864.0	56859.0
antisense_26	60798	-		OTH Found	CNIT	-0.334	-1.594	RNA	59936.0	60331.0	60798.0	60468.0
antisense_27	61348	-		OTH Found	CNIT	-0.337	-1.574	RNA	60798.0	61087.0	61348.0	61230.0
antisense_28	62933	+	CP065357.1 (1166794-1166197)	True	QRNA	22.893	1.446	RNA	62935.0	62935.0	63568.0	63568.0
antisense_29	63576	+		OTH Found	CNIT	-0.582	0.865	RNA	63576.0	64411.0	64438.0	64425.0
antisense_30	65034	+		No QRNA hit	CNIT	-0.626	1.296	RNA	65034.0	65054.0	65069.0	65068.0
antisense_31	65069	+		OTH Found	CNIT	-0.669	1.724	RNA	65069.0	65194.0	65436.0	65205.0
antisense_32	66207	-	CP092018.1 (66221-65500)	True	QRNA	15.541	0.572	RNA	65475.0	65475.0	66207.0	66207.0
antisense_33	66373	-	OU701459.1 (601611-601454)	False	QRNA	8.984	-0.464	COD	66208.0	66238.0	66365.0	66365.0
antisense_34	68462	+		OTH Found	CNIT	-0.468	-0.268	RNA	68462.0	68635.0	69324.0	68712.0
antisense_35	69694	+	CP092026.1 (1111418-1110764)	True	QRNA	24.922	1.687	RNA	69694.0	69694.0	70362.0	70362.0
antisense_36	71919	-	CP012221.1 (30876-30015)	True	QRNA	17.166	0.765	RNA	71058.0	71058.0	71919.0	71919.0
antisense_37	72988	+	CP022347.1 (233861-234731)	False	QRNA	8.398	-0.503	COD	72988.0	73008.0	73849.0	73831.0
antisense_38	77266	+		OTH Found	CNIT	-0.473	-0.218	RNA	77266.0	77521.0	77696.0	77559.0
antisense_39	77696	+		OTH Found	CNIT	-0.969	4.703	RNA	77696.0	77705.0	77739.0	77716.0
antisense_40	77739	+	CP041617.1 (1024948-1025790)	True	QRNA	11.698	0.115	RNA	77739.0	77739.0	78600.0	78600.0
antisense_41	81082	-	CP058336.1 (92769-91879)	True	QRNA	4.485	-0.743	RNA	80223.0	80223.0	81082.0	81082.0
antisense_42	82774	+	CP017871.1 (176493-177397)	True	QRNA	30.086	2.301	RNA	82775.0	82775.0	83635.0	83635.0
antisense_43	87858	+	CP048767.1 (93571-94090)	True	QRNA	11.74	0.12	RNA	87858.0	87858.0	88395.0	88395.0
antisense_44	88396	+		OTH Found	CNIT	-0.457	-0.376	RNA	88396.0	88397.0	88553.0	88432.0
antisense_45	88553	+		OTH Found	CNIT	0.613	0.165	COD	88553.0	88986.0	89415.0	89207.0
antisense_46	90720	-		OTH Found	CNIT	-0.47	-0.248	RNA	90104.0	90443.0	90720.0	90475.0
antisense_48	91475	-	CP037747.1 (1411786-1411032)	False	QRNA	28.652	0.858	COD	90721.0	90732.0	91475.0	91358.0
antisense_49	92296	-		OTH Found	CNIT	-0.423	-0.715	RNA	91475.0	91717.0	92296.0	91809.0
antisense_50	94350	+	CP063091.1 (1258630-1259134)	True	QRNA	11.408	0.08	RNA	94351.0	94351.0	94857.0	94857.0
antisense_51	103090	-		OTH Found	CNIT	-0.534	0.385	RNA	102228.0	102962.0	103090.0	103039.0
antisense_52	103946	-		OTH Found	CNIT	-0.448	-0.465	RNA	103090.0	103830.0	103946.0	103919.0
antisense_53	108099	-	CP049272.1 (466359-465537)	False	QRNA	13.302	-0.174	COD	107274.0	107329.0	108099.0	108039.0
antisense_54	108283	-		OTH Found	CNIT	-0.528	0.322	RNA	108099.0	108235.0	108283.0	108282.0
antisense_55	108318	-		No QRNA hit	CNIT	-0.851	3.53	RNA	108283.0	108289.0	108318.0	108300.0
antisense_56	111034	-	CP022347.1 (1335633-1336484)	False	QRNA	24.162	0.556	COD	110178.0	110190.0	111030.0	110973.0
antisense_58	117040	-	CP076657.1 (85438-86230)	True	QRNA	10.004	-0.087	RNA	116243.0	116243.0	117034.0	117034.0
antisense_59	125435	+		OTH Found	CNIT	-0.58	0.84	RNA	125435.0	125477.0	125587.0	125497.0
antisense_60	125587	+		OTH Found	CNIT	-0.553	0.574	RNA	125587.0	125706.0	125919.0	125738.0
antisense_61	125919	+	CP059597.1 (31238-32091)	True	QRNA	5.905	-0.574	RNA	125919.0	125919.0	126771.0	126771.0
antisense_62	127495	+	CP063079.1 (828852-829479)	True	QRNA	9.063	-0.198	RNA	127495.0	127495.0	128129.0	128129.0
antisense_63	129488	+		OTH Found	CNIT	-0.426	-0.683	RNA	129488.0	129754.0	130350.0	129789.0
antisense_64	131354	-		OTH Found	CNIT	-0.807	3.096	RNA	131306.0	131341.0	131354.0	131352.0
antisense_65	131946	-		OTH Found	CNIT	-0.46	-0.347	RNA	131354.0	131440.0	131946.0	131481.0
antisense_66	132264	-		OTH Found	CNIT	-0.62	1.241	RNA	131946.0	132106.0	132264.0	132120.0
antisense_67	141505	-		OTH Found	CNIT	-0.483	-0.121	RNA	140643.0	140667.0	141505.0	140732.0
antisense_68	142838	+		OTH Found	CNIT	-0.479	-0.159	RNA	142838.0	143371.0	143700.0	143427.0
antisense_69	146445	-	CP003871.4 (1487370-1486525)	True	QRNA	16.217	0.652	RNA	145586.0	145586.0	146445.0	146445.0
antisense_70	147898	-		OTH Found	CNIT	-0.394	-1.005	RNA	147036.0	147106.0	147898.0	147183.0
antisense_71	157219	+	CP059597.1 (1364845-1363984)	True	QRNA	17.062	0.753	RNA	157219.0	157240.0	158080.0	158080.0
antisense_72	159680	+		OTH Found	CNIT	-0.44	-0.546	RNA	159680.0	160161.0	160542.0	160214.0
antisense_73	164619	+		OTH Found	CNIT	-0.897	3.991	RNA	164619.0	164643.0	164655.0	164654.0
antisense_74	164655	+	LS483295.1 (182143-182538)	True	QRNA	18.048	0.87	RNA	164655.0	164655.0	165117.0	165117.0
antisense_75	166364	+	CP012548.1 (1436662-1437380)	False	QRNA	10.41	-0.368	COD	166365.0	166365.0	167080.0	167000.0
antisense_76	167350	+	CP020867.1 (1759651-1758798)	True	QRNA	8.755	-0.235	RNA	167362.0	167362.0	168209.0	168209.0
antisense_77	168613	+		OTH Found	CNIT	-0.44	-0.546	RNA	168613.0	168979.0	169475.0	169023.0
antisense_78	169489	+		OTH Found	CNIT	-0.509	0.136	RNA	169489.0	169589.0	169657.0	169624.0
antisense_79	169657	+		OTH Found	CNIT	-0.609	1.132	RNA	169657.0	169965.0	170105.0	169994.0
antisense_80	170105	+	CP059373.1 (1268778-1267927)	True	QRNA	20.256	1.132	RNA	170105.0	170105.0	170944.0	170944.0
antisense_81	173393	-		OTH Found	CNIT	-0.416	-0.786	RNA	172531.0	173159.0	173393.0	173230.0
antisense_82	173837	-	CP044167.1 (872079-871637)	True	QRNA	4.068	-0.792	RNA	173395.0	173395.0	173837.0	173837.0
antisense_83	174806	-		OTH Found	CNIT	0.673	1.682	COD	173944.0	174493.0	174806.0	174720.0
antisense_84	180645	+		OTH Found	CNIT	-0.499	0.04	RNA	180645.0	180862.0	181010.0	180900.0
antisense_85	181010	+		OTH Found	CNIT	-0.439	-0.561	RNA	181010.0	181545.0	181872.0	181634.0
antisense_86	184608	+		OTH Found	CNIT	-0.4	-0.943	RNA	184608.0	184790.0	185470.0	184975.0
antisense_87	185701	+		OTH Found	CNIT	-0.476	-0.185	RNA	185701.0	185793.0	186028.0	185879.0
antisense_88	186028	+		OTH Found	CNIT	-0.498	0.029	RNA	186028.0	186285.0	186890.0	186353.0
antisense_89	189266	-	CP017258.1 (73890-74751)	False	QRNA	35.338	1.307	COD	188405.0	188421.0	189266.0	189266.0
antisense_90	193197	+		OTH Found	CNIT	-0.878	3.797	RNA	193197.0	193247.0	193264.0	193255.0
antisense_91	193264	+	CP063536.1 (172880-173549)	True	QRNA	31.178	2.431	RNA	193290.0	193290.0	193971.0	193971.0
antisense_92	193973	+	CP063536.1 (173551-173974)	True	QRNA	16.065	0.634	RNA	193973.0	193973.0	194416.0	194416.0
antisense_93	194417	+	CP054848.1 (1609701-1610559)	True	QRNA	32.5	2.588	RNA	194417.0	194417.0	195278.0	195278.0
antisense_94	196333	-		OTH Found	CNIT	-0.405	-0.89	RNA	195578.0	195605.0	196333.0	195760.0
antisense_95	196998	-		OTH Found	CNIT	-0.391	-1.029	RNA	196333.0	196874.0	196998.0	196990.0
antisense_96	200066	-	CP063083.1 (1531904-1532627)	False	QRNA	73.878	3.897	COD	199342.0	199346.0	200065.0	200056.0
antisense_97	203387	-	CP053830.1 (33147-32302)	True	QRNA	11.782	0.125	RNA	202536.0	202536.0	203383.0	203383.0
antisense_98	203912	-	CP101194.1 (205880-205354)	True	QRNA	29.506	2.232	RNA	203388.0	203388.0	203912.0	203912.0
antisense_99	204541	-		OTH Found	CNIT	-0.539	0.435	RNA	203912.0	204421.0	204541.0	204468.0
antisense_100	210118	+	CP018900.1 (1241142-1240286)	True	QRNA	12.581	0.22	RNA	210118.0	210118.0	210977.0	210977.0
antisense_101	211561	+	CP011777.1 (1462943-1462082)	True	QRNA	12.261	0.182	RNA	211561.0	211561.0	212422.0	212422.0
antisense_102	220241	+	CP091310.1 (1106262-1105401)	True	QRNA	26.089	1.826	RNA	220242.0	220242.0	221102.0	221102.0
antisense_103	221782	+	CP007773.1 (948244-949066)	True	QRNA	33.477	2.704	RNA	221782.0	221782.0	222643.0	222643.0
antisense_105	231399	-		OTH Found	CNIT	-0.54	0.442	RNA	230537.0	230659.0	231399.0	230679.0
antisense_106	232404	-		OTH Found	CNIT	-0.528	0.331	RNA	231542.0	231657.0	232404.0	231683.0
antisense_107	235007	+	CP068586.1 (1272214-1271569)	True	QRNA	20.339	1.142	RNA	235008.0	235008.0	235653.0	235653.0
antisense_108	235654	+	CP083379.1 (1237227-1238087)	True	QRNA	19.034	0.987	RNA	235654.0	235654.0	236514.0	236514.0
antisense_109	236791	+		OTH Found	CNIT	-0.543	0.472	RNA	236791.0	236832.0	237560.0	236855.0
antisense_110	237560	+	CP007773.1 (962738-963598)	True	QRNA	17.303	0.781	RNA	237560.0	237560.0	238421.0	238421.0
antisense_111	241245	+	CP007773.1 (966395-967243)	True	QRNA	12.497	0.21	RNA	241245.0	241245.0	242105.0	242105.0
antisense_112	243767	-	CP010458.1 (195612-194765)	True	QRNA	15.363	0.551	RNA	242906.0	242906.0	243767.0	243767.0
antisense_113	250033	+	HG326877.1 (175808-174911)	True	QRNA	11.203	0.056	RNA	250042.0	250042.0	250894.0	250894.0
antisense_114	251994	+	CP076657.1 (1465493-1464634)	True	QRNA	14.864	0.491	RNA	251995.0	251995.0	252845.0	252845.0
antisense_115	253859	+		OTH Found	CNIT	-0.651	1.55	RNA	253859.0	253860.0	253931.0	253880.0
antisense_116	253931	+		OTH Found	CNIT	0.607	-0.007	COD	253931.0	254133.0	254573.0	254384.0
antisense_117	254911	-	CP035946.1 (1607218-1607482)	False	QRNA	4.778	-0.747	COD	254638.0	254761.0	254902.0	254901.0
antisense_118	256869	-		OTH Found	CNIT	-0.407	-0.87	RNA	256007.0	256460.0	256869.0	256546.0
antisense_119	257513	+		OTH Found	CNIT	-0.381	-1.131	RNA	257513.0	258268.0	258375.0	258375.0
antisense_120	259704	+		OTH Found	CNIT	-0.567	0.713	RNA	259704.0	259852.0	260426.0	259884.0
antisense_121	260426	+	CP019977.1 (1812658-1811874)	True	QRNA	26.986	1.932	RNA	260431.0	260431.0	261215.0	261215.0
antisense_122	261933	-		OTH Found	CNIT	-0.464	-0.304	RNA	261241.0	261825.0	261933.0	261875.0
antisense_123	262867	+		OTH Found	CNIT	-0.602	1.057	RNA	262867.0	263021.0	263083.0	263080.0
antisense_124	263083	+	CP000814.1 (231279-231782)	True	QRNA	17.821	0.843	RNA	263083.0	263083.0	263592.0	263592.0
antisense_125	263591	-	CP085965.1 (878211-877756)	True	QRNA	14.072	0.397	RNA	263130.0	263130.0	263591.0	263591.0
antisense_126	264560	-		OTH Found	CNIT	-0.429	-0.66	RNA	263698.0	263968.0	264560.0	263994.0
antisense_127	265122	+		OTH Found	CNIT	-0.468	-0.273	RNA	265122.0	265871.0	265984.0	265903.0
antisense_128	269492	-		OTH Found	CNIT	-0.511	0.153	RNA	269203.0	269241.0	269492.0	269279.0
antisense_129	269554	-		OTH Found	CNIT	-0.661	1.648	RNA	269492.0	269499.0	269554.0	269510.0
antisense_130	270004	-		OTH Found	CNIT	-0.526	0.303	RNA	269554.0	269730.0	270004.0	269792.0
antisense_131	270475	-	CP059597.1 (1460468-1460001)	False	QRNA	1.009	-1.0	COD	270008.0	270028.0	270475.0	270465.0
antisense_132	274785	-	CP092034.1 (228834-227978)	True	QRNA	16.112	0.64	RNA	273924.0	273924.0	274780.0	274780.0
antisense_133	276422	+	CP014742.1 (386798-387679)	True	QRNA	17.629	0.82	RNA	276422.0	276422.0	277283.0	277283.0
antisense_134	277817	+		OTH Found	CNIT	-0.51	0.143	RNA	277817.0	278445.0	278506.0	278468.0
antisense_135	279577	-	CP012220.1 (193344-192483)	True	QRNA	10.29	-0.053	RNA	278716.0	278716.0	279577.0	279577.0
antisense_136	279580	+	CP014742.1 (386798-387679)	True	QRNA	17.629	0.82	RNA	279580.0	279580.0	280441.0	280441.0
antisense_137	281785	+		OTH Found	CNIT	-0.914	4.157	RNA	281785.0	281790.0	281850.0	281798.0
antisense_138	281850	+	CP059597.1 (54931-55787)	True	QRNA	30.799	2.386	RNA	281855.0	281855.0	282711.0	282711.0
antisense_139	286456	-		OTH Found	CNIT	-0.507	0.116	RNA	285594.0	286138.0	286456.0	286215.0
antisense_140	287726	-		OTH Found	CNIT	-0.496	0.011	RNA	286864.0	287194.0	287726.0	287214.0
antisense_142	292448	-	CP049075.1 (81448-80587)	False	QRNA	1.904	-0.94	COD	291587.0	291631.0	292448.0	292425.0
antisense_143	294793	-		OTH Found	CNIT	-0.436	-0.589	RNA	293931.0	294707.0	294793.0	294790.0
antisense_144	295327	+	LR134534.1 (1460384-1461219)	True	QRNA	15.752	0.597	RNA	295336.0	295336.0	296180.0	296180.0
antisense_145	299472	+	CP007772.1 (1543292-1544144)	False	QRNA	14.368	-0.102	COD	299476.0	299563.0	300332.0	300282.0
antisense_146	301242	+	CP059682.1 (772386-771532)	False	QRNA	49.617	2.267	COD	301246.0	301280.0	302102.0	302082.0
antisense_147	302421	+	OU701461.1 (490432-490374)	False	QRNA	1.098	-0.994	COD	302428.0	302437.0	302486.0	302475.0
antisense_148	302489	+	LR134508.1 (1344290-1345131)	True	QRNA	30.427	2.341	RNA	302505.0	302505.0	303350.0	303350.0
antisense_149	303574	+		OTH Found	CNIT	-0.478	-0.166	RNA	303574.0	303670.0	303716.0	303696.0
antisense_150	303716	+		OTH Found	CNIT	-0.648	1.52	RNA	303716.0	303718.0	303833.0	303732.0
antisense_151	303833	+		OTH Found	CNIT	-0.44	-0.55	RNA	303833.0	304418.0	304635.0	304549.0
antisense_152	304635	+	CP059374.1 (1173260-1172585)	True	QRNA	11.158	0.051	RNA	304638.0	304638.0	305320.0	305320.0
antisense_153	308123	+		OTH Found	CNIT	-0.598	1.02	RNA	308123.0	308144.0	308298.0	308170.0
antisense_154	308298	+	CP022347.1 (979109-979742)	False	QRNA	22.707	0.458	COD	308298.0	308354.0	308931.0	308926.0
antisense_155	310373	+		OTH Found	CNIT	-0.473	-0.221	RNA	310373.0	310402.0	311235.0	310503.0
antisense_156	313016	+	CP059597.1 (91271-91799)	True	QRNA	19.088	0.993	RNA	313022.0	313022.0	313553.0	313553.0
antisense_157	313554	+	CP059597.1 (91803-92661)	True	QRNA	19.956	1.097	RNA	313557.0	313557.0	314415.0	314415.0
antisense_158	315569	-		OTH Found	CNIT	-0.527	0.315	RNA	315224.0	315529.0	315569.0	315561.0
antisense_159	316249	-	CP063091.1 (630106-629438)	False	QRNA	5.426	-0.703	COD	315577.0	315706.0	316245.0	316245.0
antisense_160	316774	+		OTH Found	CNIT	-0.614	1.182	RNA	316774.0	316885.0	316900.0	316896.0
